episode_id,episode_start_utc,episode_end_utc,maximum_state_score,maximum_state,duration_hours
1,2026-06-14 02:00:00+00:00,2026-06-15 02:00:00+00:00,1,attention,25.0
2,2026-06-17 17:00:00+00:00,2026-06-18 15:00:00+00:00,2,anomaly,23.0
3,2026-06-21 17:00:00+00:00,2026-06-22 00:00:00+00:00,2,anomaly,8.0
4,2026-06-22 02:00:00+00:00,2026-06-22 02:00:00+00:00,1,attention,1.0
5,2026-06-22 23:00:00+00:00,2026-06-27 01:00:00+00:00,2,anomaly,99.0
6,2026-06-27 13:00:00+00:00,2026-06-27 18:00:00+00:00,1,attention,6.0
7,2026-06-28 04:00:00+00:00,2026-06-28 09:00:00+00:00,2,anomaly,6.0
8,2026-06-30 02:00:00+00:00,2026-06-30 11:00:00+00:00,2,anomaly,10.0
9,2026-07-05 00:00:00+00:00,2026-07-07 01:00:00+00:00,2,anomaly,50.0
10,2026-07-07 03:00:00+00:00,2026-07-07 08:00:00+00:00,1,attention,6.0
11,2026-07-27 17:00:00+00:00,2026-07-27 18:00:00+00:00,1,attention,2.0
12,2026-07-30 02:00:00+00:00,2026-07-31 01:00:00+00:00,2,anomaly,24.0
