repetition,shift_hours,associated_episode_count,associated_episode_fraction
1,297,1,0.1428571429
2,4384,0,0
3,3221,2,0.2857142857
4,547,1,0.1428571429
5,278,1,0.1428571429
6,1580,0,0
7,4704,1,0.1428571429
8,1680,2,0.2857142857
9,4087,2,0.2857142857
10,4903,3,0.4285714286
11,1072,0,0
12,2639,0,0
13,3085,3,0.4285714286
14,1129,0,0
15,724,2,0.2857142857
16,4659,1,0.1428571429
17,4516,1,0.1428571429
18,3608,1,0.1428571429
19,3999,4,0.5714285714
20,2571,0,0
21,4031,3,0.4285714286
22,1896,0,0
23,4909,3,0.4285714286
24,1054,0,0
25,1714,2,0.2857142857
26,4833,1,0.1428571429
27,2168,2,0.2857142857
28,726,2,0.2857142857
29,2402,0,0
30,656,2,0.2857142857
31,355,1,0.1428571429
32,2677,1,0.1428571429
33,1415,1,0.1428571429
34,2183,2,0.2857142857
35,4422,1,0.1428571429
36,3933,2,0.2857142857
37,3337,0,0
38,1149,0,0
39,4601,0,0
40,1489,1,0.1428571429
41,4050,3,0.4285714286
42,1528,1,0.1428571429
43,4435,1,0.1428571429
44,1342,1,0.1428571429
45,3636,1,0.1428571429
46,1081,0,0
47,4268,0,0
48,1680,2,0.2857142857
49,2119,2,0.2857142857
50,4026,3,0.4285714286
51,2758,2,0.2857142857
52,2501,0,0
53,1328,1,0.1428571429
54,3804,0,0
55,2044,1,0.1428571429
56,4368,0,0
57,3092,3,0.4285714286
58,2927,2,0.2857142857
59,4787,2,0.2857142857
60,3764,1,0.1428571429
61,1861,0,0
62,1045,0,0
63,3937,2,0.2857142857
64,2478,0,0
65,3447,0,0
66,4549,1,0.1428571429
67,609,1,0.1428571429
68,4895,3,0.4285714286
69,2604,0,0
70,4236,1,0.1428571429
71,2395,0,0
72,4517,1,0.1428571429
73,1525,1,0.1428571429
74,4090,2,0.2857142857
75,1583,0,0
76,1790,3,0.4285714286
77,769,3,0.4285714286
78,2284,2,0.2857142857
79,4530,1,0.1428571429
80,3760,1,0.1428571429
81,989,2,0.2857142857
82,4001,4,0.5714285714
83,513,1,0.1428571429
84,3694,1,0.1428571429
85,864,2,0.2857142857
86,2009,1,0.1428571429
87,747,2,0.2857142857
88,4474,1,0.1428571429
89,2840,1,0.1428571429
90,4869,1,0.1428571429
91,2768,2,0.2857142857
92,996,2,0.2857142857
93,827,2,0.2857142857
94,2549,0,0
95,4665,1,0.1428571429
96,2479,0,0
97,3032,3,0.4285714286
98,1916,0,0
99,1540,1,0.1428571429
100,3238,2,0.2857142857
101,979,2,0.2857142857
102,1822,2,0.2857142857
103,2231,2,0.2857142857
104,556,0,0
105,4396,0,0
106,840,1,0.1428571429
107,3412,0,0
108,622,1,0.1428571429
109,3198,2,0.2857142857
110,3648,1,0.1428571429
111,1247,0,0
112,740,2,0.2857142857
113,3777,0,0
114,203,0,0
115,2004,1,0.1428571429
116,4265,1,0.1428571429
117,4240,1,0.1428571429
118,4516,1,0.1428571429
119,3051,4,0.5714285714
120,4540,1,0.1428571429
121,2223,2,0.2857142857
122,3485,0,0
123,2189,2,0.2857142857
124,1827,2,0.2857142857
125,3169,2,0.2857142857
126,3874,2,0.2857142857
127,1153,0,0
128,4422,1,0.1428571429
129,956,2,0.2857142857
130,576,0,0
131,728,2,0.2857142857
132,4164,1,0.1428571429
133,3195,2,0.2857142857
134,3008,3,0.4285714286
135,4908,3,0.4285714286
136,2464,0,0
137,2749,2,0.2857142857
138,4402,1,0.1428571429
139,2951,2,0.2857142857
140,2027,1,0.1428571429
141,620,1,0.1428571429
142,3615,1,0.1428571429
143,4503,1,0.1428571429
144,1384,1,0.1428571429
145,311,1,0.1428571429
146,4067,2,0.2857142857
147,276,1,0.1428571429
148,2492,0,0
149,615,1,0.1428571429
150,3228,2,0.2857142857
151,3552,0,0
152,953,2,0.2857142857
153,1049,0,0
154,4434,1,0.1428571429
155,4639,1,0.1428571429
156,4687,1,0.1428571429
157,2190,2,0.2857142857
158,1016,2,0.2857142857
159,953,2,0.2857142857
160,4763,1,0.1428571429
161,885,1,0.1428571429
162,3680,1,0.1428571429
163,4630,1,0.1428571429
164,2177,2,0.2857142857
165,691,2,0.2857142857
166,4034,3,0.4285714286
167,1175,0,0
168,2694,1,0.1428571429
169,4296,0,0
170,3225,2,0.2857142857
171,2706,1,0.1428571429
172,1106,0,0
173,1227,0,0
174,567,0,0
175,3816,1,0.1428571429
176,2626,0,0
177,1365,1,0.1428571429
178,4323,0,0
179,2031,1,0.1428571429
180,4575,0,0
181,4616,0,0
182,1482,1,0.1428571429
183,579,0,0
184,368,2,0.2857142857
185,2689,1,0.1428571429
186,3781,0,0
187,524,1,0.1428571429
188,2954,3,0.4285714286
189,2772,2,0.2857142857
190,284,1,0.1428571429
191,2706,1,0.1428571429
192,3302,0,0
193,1482,1,0.1428571429
194,4352,0,0
195,4599,0,0
196,737,2,0.2857142857
197,806,2,0.2857142857
198,4194,1,0.1428571429
199,3794,0,0
200,1846,1,0.1428571429
201,1964,0,0
202,1205,0,0
203,3682,1,0.1428571429
204,3542,0,0
205,2075,1,0.1428571429
206,2949,2,0.2857142857
207,409,2,0.2857142857
208,4669,1,0.1428571429
209,1303,1,0.1428571429
210,4277,0,0
211,2495,0,0
212,2447,0,0
213,2134,2,0.2857142857
214,1560,0,0
215,619,1,0.1428571429
216,917,2,0.2857142857
217,2205,2,0.2857142857
218,943,2,0.2857142857
219,2144,3,0.4285714286
220,319,1,0.1428571429
221,215,0,0
222,319,1,0.1428571429
223,2839,1,0.1428571429
224,2737,1,0.1428571429
225,1274,0,0
226,4061,2,0.2857142857
227,4420,1,0.1428571429
228,4779,2,0.2857142857
229,3899,2,0.2857142857
230,1558,0,0
231,4721,1,0.1428571429
232,317,1,0.1428571429
233,804,2,0.2857142857
234,1869,0,0
235,1183,0,0
236,846,1,0.1428571429
237,3294,0,0
238,4152,1,0.1428571429
239,2137,2,0.2857142857
240,4348,0,0
241,3339,0,0
242,1284,1,0.1428571429
243,4045,3,0.4285714286
244,3626,1,0.1428571429
245,1002,2,0.2857142857
246,2263,2,0.2857142857
247,2682,1,0.1428571429
248,2540,0,0
249,4336,0,0
250,3121,1,0.1428571429
251,2936,2,0.2857142857
252,2739,2,0.2857142857
253,4050,3,0.4285714286
254,4437,1,0.1428571429
255,3283,1,0.1428571429
256,994,2,0.2857142857
257,3133,1,0.1428571429
258,2511,0,0
259,3505,0,0
260,2965,3,0.4285714286
261,4541,1,0.1428571429
262,728,2,0.2857142857
263,3186,2,0.2857142857
264,3628,1,0.1428571429
265,2779,2,0.2857142857
266,4492,1,0.1428571429
267,3887,2,0.2857142857
268,3973,4,0.5714285714
269,189,0,0
270,1773,3,0.4285714286
271,3660,1,0.1428571429
272,1835,2,0.2857142857
273,2300,1,0.1428571429
274,721,2,0.2857142857
275,218,0,0
276,4106,3,0.4285714286
277,4795,2,0.2857142857
278,3412,0,0
279,2224,2,0.2857142857
280,1303,1,0.1428571429
281,3788,0,0
282,724,2,0.2857142857
283,2865,0,0
284,1690,2,0.2857142857
285,1880,0,0
286,3732,1,0.1428571429
287,3457,0,0
288,938,2,0.2857142857
289,2567,0,0
290,2467,0,0
291,915,2,0.2857142857
292,2137,2,0.2857142857
293,3064,4,0.5714285714
294,4001,4,0.5714285714
295,2552,0,0
296,1130,0,0
297,3170,2,0.2857142857
298,2284,2,0.2857142857
299,4027,3,0.4285714286
300,1245,0,0
301,4126,2,0.2857142857
302,3218,2,0.2857142857
303,4287,0,0
304,1067,0,0
305,1923,0,0
306,1606,0,0
307,4193,1,0.1428571429
308,4538,1,0.1428571429
309,3490,0,0
310,3789,0,0
311,4368,0,0
312,1334,1,0.1428571429
313,4576,0,0
314,3761,1,0.1428571429
315,2816,2,0.2857142857
316,1439,2,0.2857142857
317,4445,1,0.1428571429
318,2764,2,0.2857142857
319,3397,0,0
320,2574,0,0
321,1375,1,0.1428571429
322,4393,0,0
323,1669,1,0.1428571429
324,513,1,0.1428571429
