magnitude_threshold,association_window_id,association_window_hours,event_cluster_count,associated_episode_count,unassociated_episode_count,associated_episode_fraction,event_detection_fraction,false_discovery_fraction
3,primary_7d,168,7,1,6,0.1428571429,0.1428571429,0.8571428571
3,24h,24,7,1,6,0.1428571429,0.1428571429,0.8571428571
3,72h,72,7,1,6,0.1428571429,0.1428571429,0.8571428571
3,7d,168,7,1,6,0.1428571429,0.1428571429,0.8571428571
3,14d,336,7,1,6,0.1428571429,0.1428571429,0.8571428571
3,30d,720,7,3,4,0.4285714286,0.5714285714,0.5714285714
2.5,primary_7d,168,11,1,6,0.1428571429,0.09090909091,0.8571428571
2.5,24h,24,11,1,6,0.1428571429,0.09090909091,0.8571428571
2.5,72h,72,11,1,6,0.1428571429,0.09090909091,0.8571428571
2.5,7d,168,11,1,6,0.1428571429,0.09090909091,0.8571428571
2.5,14d,336,11,1,6,0.1428571429,0.09090909091,0.8571428571
2.5,30d,720,11,3,4,0.4285714286,0.3636363636,0.5714285714
3.5,primary_7d,168,3,1,6,0.1428571429,0.3333333333,0.8571428571
3.5,24h,24,3,1,6,0.1428571429,0.3333333333,0.8571428571
3.5,72h,72,3,1,6,0.1428571429,0.3333333333,0.8571428571
3.5,7d,168,3,1,6,0.1428571429,0.3333333333,0.8571428571
3.5,14d,336,3,1,6,0.1428571429,0.3333333333,0.8571428571
3.5,30d,720,3,2,5,0.2857142857,0.3333333333,0.7142857143
4,primary_7d,168,1,0,7,0,0,1
4,24h,24,1,0,7,0,0,1
4,72h,72,1,0,7,0,0,1
4,7d,168,1,0,7,0,0,1
4,14d,336,1,0,7,0,0,1
4,30d,720,1,0,7,0,0,1
