repetition,shift_hours,associated_episode_count,overlapping_episode_count,post_episode_associated_count,associated_episode_fraction,false_discovery_fraction,event_detection_fraction,median_lead_time_hours
1,963,3,1,2,0.4285714286,0.5714285714,0.2857142857,21.31866667
2,551,1,0,1,0.1428571429,0.8571428571,0.1428571429,35.31866667
3,3224,1,1,0,0.1428571429,0.8571428571,0.1428571429,0.2980472222
4,2885,2,0,2,0.2857142857,0.7142857143,0.2857142857,85.18430264
5,1309,1,1,0,0.1428571429,0.8571428571,0.1428571429,3.815916389
6,730,0,0,0,0,1,0,
7,2934,3,0,3,0.4285714286,0.5714285714,0.2857142857,111.0499386
8,2570,0,0,0,0,1,0,
9,3227,1,1,0,0.1428571429,0.8571428571,0.1428571429,3.298047222
10,4823,1,0,1,0.1428571429,0.8571428571,0.1428571429,129.5494222
11,2433,0,0,0,0,1,0,
12,2540,0,0,0,0,1,0,
13,2509,0,0,0,0,1,0,
14,3103,0,0,0,0,1,0,
15,4726,1,0,1,0.1428571429,0.8571428571,0.1428571429,32.54942222
16,2883,2,0,2,0.2857142857,0.7142857143,0.2857142857,83.18430264
17,3051,1,0,1,0.1428571429,0.8571428571,0.1428571429,131.3186667
18,4713,2,0,2,0.2857142857,0.7142857143,0.2857142857,89.79968042
19,2674,0,0,0,0,1,0,
20,2336,2,0,2,0.2857142857,0.7142857143,0.2857142857,102.3513276
21,1808,1,0,1,0.1428571429,0.8571428571,0.1428571429,12.38398861
22,4652,1,0,1,0.1428571429,0.8571428571,0.1428571429,99.04993861
23,815,0,0,0,0,1,0,
24,1503,1,0,1,0.1428571429,0.8571428571,0.1428571429,161.5494222
25,2706,0,0,0,0,1,0,
26,2568,0,0,0,0,1,0,
27,1570,0,0,0,0,1,0,
28,2506,0,0,0,0,1,0,
29,2603,0,0,0,0,1,0,
30,1685,0,0,0,0,1,0,
31,4549,1,1,0,0.1428571429,0.8571428571,0.1428571429,21.29804722
32,2101,3,0,3,0.4285714286,0.5714285714,0.2857142857,95.31866667
33,2242,1,1,0,0.1428571429,0.8571428571,0.1428571429,20.38398861
34,3858,0,0,0,0,1,0,
35,1403,1,0,1,0.1428571429,0.8571428571,0.1428571429,61.54942222
36,3766,1,0,1,0.1428571429,0.8571428571,0.1428571429,129.8477969
37,4329,3,0,3,0.4285714286,0.5714285714,0.2857142857,59.04993861
38,927,1,0,1,0.1428571429,0.8571428571,0.1428571429,111.8477969
39,2618,0,0,0,0,1,0,
40,3566,1,0,1,0.1428571429,0.8571428571,0.1428571429,40.38398861
41,2354,2,0,2,0.2857142857,0.7142857143,0.2857142857,120.3513276
42,2209,0,0,0,0,1,0,
43,1801,1,0,1,0.1428571429,0.8571428571,0.1428571429,5.383988611
44,1968,2,1,1,0.2857142857,0.7142857143,0.2857142857,50.43404444
45,395,1,0,1,0.1428571429,0.8571428571,0.1428571429,110.8477969
46,1861,2,1,1,0.2857142857,0.7142857143,0.2857142857,45.0999525
47,1889,2,1,1,0.2857142857,0.7142857143,0.2857142857,54.96670542
48,3498,0,0,0,0,1,0,
49,2116,3,0,3,0.4285714286,0.5714285714,0.2857142857,110.3186667
50,2117,3,0,3,0.4285714286,0.5714285714,0.2857142857,111.3186667
51,3429,1,0,1,0.1428571429,0.8571428571,0.1428571429,143.3839886
52,1094,4,0,4,0.5714285714,0.4285714286,0.5714285714,85.69860958
53,4450,1,0,1,0.1428571429,0.8571428571,0.1428571429,137.0499386
