check_type,excluded_id,lead_window_hours,alert_episode_count,event_cluster_count,associated_episode_count,overlapping_episode_count,post_episode_associated_count,unassociated_episode_count,associated_episode_fraction,false_discovery_fraction,event_clusters_preceded_by_alert,event_detection_fraction,median_lead_time_hours
primary,,168,7,7,1,1,0,6,0.1428571429,0.8571428571,1,0.1428571429,23.29804722
exclude_overlapping,,168,7,7,0,0,0,7,0,1,0,0,
leave_one_episode_out,14,168,6,7,1,1,0,5,0.1666666667,0.8333333333,1,0.1428571429,23.29804722
leave_one_episode_out,15,168,6,7,1,1,0,5,0.1666666667,0.8333333333,1,0.1428571429,23.29804722
leave_one_episode_out,16,168,6,7,1,1,0,5,0.1666666667,0.8333333333,1,0.1428571429,23.29804722
leave_one_episode_out,17,168,6,7,1,1,0,5,0.1666666667,0.8333333333,1,0.1428571429,23.29804722
leave_one_episode_out,18,168,6,7,1,1,0,5,0.1666666667,0.8333333333,1,0.1428571429,23.29804722
leave_one_episode_out,19,168,6,7,0,0,0,6,0,1,0,0,
leave_one_episode_out,20,168,6,7,1,1,0,5,0.1666666667,0.8333333333,1,0.1428571429,23.29804722
leave_one_event_cluster_out,1,168,7,6,1,1,0,6,0.1428571429,0.8571428571,1,0.1666666667,23.29804722
leave_one_event_cluster_out,2,168,7,6,1,1,0,6,0.1428571429,0.8571428571,1,0.1666666667,23.29804722
leave_one_event_cluster_out,3,168,7,6,1,1,0,6,0.1428571429,0.8571428571,1,0.1666666667,23.29804722
leave_one_event_cluster_out,4,168,7,6,1,1,0,6,0.1428571429,0.8571428571,1,0.1666666667,23.29804722
leave_one_event_cluster_out,5,168,7,6,1,1,0,6,0.1428571429,0.8571428571,1,0.1666666667,23.29804722
leave_one_event_cluster_out,6,168,7,6,1,1,0,6,0.1428571429,0.8571428571,1,0.1666666667,23.29804722
leave_one_event_cluster_out,7,168,7,6,0,0,0,7,0,1,0,0,
secondary_lead_window,,24,7,7,1,1,0,6,0.1428571429,0.8571428571,1,0.1428571429,23.29804722
secondary_lead_window,,72,7,7,1,1,0,6,0.1428571429,0.8571428571,1,0.1428571429,23.29804722
secondary_lead_window,,336,7,7,1,1,0,6,0.1428571429,0.8571428571,1,0.1428571429,23.29804722
secondary_lead_window,,720,7,7,3,1,2,4,0.4285714286,0.5714285714,3,0.4285714286,388.5494222
