episode_id,start_utc,end_utc,duration_hours,maximum_level
1,2025-01-18T19:00:00Z,2025-01-19T16:00:00Z,21,attention
2,2025-02-16T16:00:00Z,2025-02-25T02:00:00Z,202,anomaly
3,2025-03-07T02:00:00Z,2025-03-07T07:00:00Z,5,attention
4,2025-03-13T04:00:00Z,2025-03-13T05:00:00Z,1,attention
5,2025-03-14T23:00:00Z,2025-03-15T02:00:00Z,3,attention
6,2025-03-15T10:00:00Z,2025-03-15T12:00:00Z,2,attention
7,2025-06-08T07:00:00Z,2025-06-08T20:00:00Z,13,attention
8,2025-08-31T16:00:00Z,2025-09-03T22:00:00Z,78,anomaly
9,2025-09-04T12:00:00Z,2025-09-04T15:00:00Z,3,attention
10,2025-09-29T07:00:00Z,2025-09-29T07:00:00Z,0,anomaly
11,2025-10-03T05:00:00Z,2025-10-03T14:00:00Z,9,attention
12,2025-11-20T05:00:00Z,2025-11-20T10:00:00Z,5,attention
13,2025-11-28T16:00:00Z,2025-11-29T08:00:00Z,16,anomaly
14,2026-03-21T22:00:00Z,2026-03-21T22:00:00Z,0,attention
15,2026-04-08T16:00:00Z,2026-04-09T14:00:00Z,22,attention
16,2026-05-21T05:00:00Z,2026-05-22T05:00:00Z,24,attention
17,2026-05-23T00:00:00Z,2026-05-23T01:00:00Z,1,attention
18,2026-06-02T00:00:00Z,2026-06-03T01:00:00Z,25,attention
19,2026-06-24T03:00:00Z,2026-06-26T02:00:00Z,47,anomaly
20,2026-06-30T02:00:00Z,2026-06-30T05:00:00Z,3,attention
