event_id,time_utc,latitude,longitude,depth_km,magnitude,magnitude_type,distance_from_reference_km,author,catalog,contributor,contributor_id,magnitude_author,location_name,source
41160451,2025-01-02T16:04:27.539Z,40.826333,14.092000,2.400000,1.800000,Md,4.095921,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41198081,2025-01-03T04:31:37.029Z,40.836000,14.130000,2.200000,1.200000,Md,0.993369,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41179801,2025-01-04T16:21:59.740Z,40.813000,14.143000,3.000000,2.000000,Md,2.070558,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41191011,2025-01-07T02:36:20.829Z,40.833167,14.136833,2.600000,1.500000,Md,0.338533,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41230481,2025-01-12T23:18:04.049Z,40.807500,14.138000,3.500000,1.000000,Md,2.675095,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41230961,2025-01-13T00:36:25.410Z,40.832500,14.142667,2.800000,1.500000,Md,0.235466,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41230971,2025-01-13T00:36:28.400Z,40.832000,14.136000,1.800000,1.300000,Md,0.357709,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41232871,2025-01-13T06:58:37Z,40.827000,14.135167,1.900000,1.100000,Md,0.655513,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41242391,2025-01-14T11:59:25.579Z,40.821667,14.137167,1.300000,1.700000,Md,1.122768,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41245061,2025-01-15T04:53:19.960Z,40.836333,14.086833,2.700000,1.300000,Md,4.521872,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41516572,2025-01-17T16:53:21.759Z,40.830000,14.134333,1.800000,1.600000,Md,0.521039,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41516772,2025-01-17T16:53:50.140Z,40.829000,14.132833,1.900000,3.000000,Md,0.679311,SURVEY-INGV-OV#SiSmi,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41516812,2025-01-17T16:54:14.250Z,40.826000,14.136833,1.200000,1.700000,Md,0.674000,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41520842,2025-01-18T16:58:43.170Z,40.818667,14.145167,0.200000,2.800000,Md,1.486910,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41521112,2025-01-18T17:24:03.210Z,40.819167,14.146667,0.500000,1.200000,Md,1.475381,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41521102,2025-01-18T17:25:31.190Z,40.819667,14.147167,0.400000,1.500000,Md,1.440452,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41526202,2025-01-20T05:51:38.829Z,40.833833,14.137833,2.500000,1.300000,Md,0.327040,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41526262,2025-01-20T05:51:46.559Z,40.834833,14.135667,1.900000,1.000000,Md,0.531787,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41529602,2025-01-20T23:25:10.519Z,40.800833,14.142667,3.800000,1.600000,Md,3.416333,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41529722,2025-01-21T00:38:01.950Z,40.818333,14.155667,2.800000,1.100000,Md,1.958911,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41529832,2025-01-21T00:43:52.910Z,40.803833,14.150833,3.100000,1.400000,Md,3.203918,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41532242,2025-01-21T13:36:26.930Z,40.832833,14.129500,2.700000,2.100000,Md,0.912347,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41532402,2025-01-21T13:36:41.569Z,40.833833,14.129000,2.400000,1.100000,Md,0.977344,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41534732,2025-01-22T02:19:13.180Z,40.824667,14.142500,1.600000,1.500000,Md,0.784053,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41277531,2025-01-22T10:59:32.779Z,40.836833,14.123000,2.700000,1.400000,Md,1.563843,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41286511,2025-01-24T05:29:55.200Z,40.833667,14.120333,2.400000,2.000000,Md,1.688745,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41549752,2025-01-24T21:46:23.940Z,40.835500,14.112500,2.700000,2.200000,Md,2.372511,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41549842,2025-01-24T22:00:08.369Z,40.835000,14.112667,2.300000,1.100000,Md,2.348871,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41550182,2025-01-24T22:47:01.750Z,40.834833,14.114167,2.000000,1.100000,Md,2.221345,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
