experiment_id,window_id,relation_id,source_id,target_id,classification_status,paired_observation_count,equivalence_audit_status,absolute_spearman_threshold,observed_spearman_strength,near_duplicate_component_flag,affine_transformation_flag,affine_intercept,affine_slope,redundant_relation_flag,automatic_rejection_applied
CGIE3_ID_02,1d,spearman::depth_mad_km--interevent_time_mad_hours,depth_mad_km,interevent_time_mad_hours,rejected,3853,evaluated,0.995,-0.03287475103,False,False,0.001018267806,-5.120426174e-06,False,False
CGIE3_ID_02,1d,spearman::depth_mad_km--median_interevent_time_hours,depth_mad_km,median_interevent_time_hours,rejected,3853,evaluated,0.995,0.1592638527,False,False,0.00367031597,7.660253329e-07,False,False
CGIE3_ID_02,1d,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,eligible,3853,evaluated,0.995,0.300418432,False,False,1.001720616,0.02139240917,False,False
CGIE3_ID_02,1d,spearman::depth_mad_km--event_count,event_count,depth_mad_km,rejected,3853,evaluated,0.995,-0.0246149832,False,False,0.5229666521,-0.008281104083,False,False
CGIE3_ID_02,1d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,3853,evaluated,0.995,0.4971858071,False,False,0.001157241216,-2.45423791e-05,False,False
CGIE3_ID_02,1d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,6076,evaluated,0.995,0.7586573147,False,False,7.274761482,0.0928828518,False,False
CGIE3_ID_02,1d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,eligible,6076,evaluated,0.995,0.675143177,False,False,1.594784297,0.0576051514,False,False
CGIE3_ID_02,1d,spearman::event_count--median_depth_km,event_count,median_depth_km,rejected,6076,evaluated,0.995,-0.1058501324,False,False,2.46096515,-0.01674340779,False,False
CGIE3_ID_02,1d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,eligible,3853,evaluated,0.995,-0.5284007872,False,False,0.00459507997,-0.0001604375218,False,False
CGIE3_ID_02,1d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,rejected,3853,evaluated,0.995,-0.1208928838,False,False,1.088692044,-0.01333009923,False,False
CGIE3_ID_02,1d,spearman::depth_mad_km--log10_cumulative_energy_joule,log10_cumulative_energy_joule,depth_mad_km,rejected,3853,evaluated,0.995,-0.1337919797,False,False,-0.6801728681,0.142440803,False,False
CGIE3_ID_02,1d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,log10_cumulative_energy_joule,interevent_time_mad_hours,candidate,3853,evaluated,0.995,0.2877519563,False,False,0.001595218667,-7.142645163e-05,False,False
CGIE3_ID_02,1d,spearman::log10_cumulative_energy_joule--median_depth_km,log10_cumulative_energy_joule,median_depth_km,rejected,6076,evaluated,0.995,-0.0780764609,False,False,1.623560268,0.1006919517,False,False
CGIE3_ID_02,1d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,eligible,3853,evaluated,0.995,-0.4366162893,False,False,0.01599450237,-0.001519279708,False,False
CGIE3_ID_02,1d,spearman::log10_cumulative_energy_joule--spatial_dispersion_km,log10_cumulative_energy_joule,spatial_dispersion_km,rejected,3853,evaluated,0.995,-0.1698503062,False,False,1.856114725,-0.1040762656,False,False
CGIE3_ID_02,1d,spearman::depth_mad_km--maximum_magnitude,maximum_magnitude,depth_mad_km,rejected,3853,evaluated,0.995,-0.140745838,False,False,0.03462041719,0.2104701584,False,False
CGIE3_ID_02,1d,spearman::interevent_time_mad_hours--maximum_magnitude,maximum_magnitude,interevent_time_mad_hours,candidate,3853,evaluated,0.995,0.2427518202,False,False,0.001225451012,-0.0001001243614,False,False
CGIE3_ID_02,1d,spearman::log10_cumulative_energy_joule--maximum_magnitude,maximum_magnitude,log10_cumulative_energy_joule,eligible,6076,evaluated,0.995,0.9858583829,False,False,4.920385855,1.493553475,False,False
CGIE3_ID_02,1d,spearman::maximum_magnitude--median_depth_km,maximum_magnitude,median_depth_km,rejected,6076,evaluated,0.995,-0.0726415037,False,False,2.088570959,0.1670520198,False,False
CGIE3_ID_02,1d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,eligible,3853,evaluated,0.995,-0.4042337978,False,False,0.007888641957,-0.002014728484,False,False
CGIE3_ID_02,1d,spearman::maximum_magnitude--spatial_dispersion_km,maximum_magnitude,spatial_dispersion_km,rejected,3853,evaluated,0.995,-0.1686511803,False,False,1.309818719,-0.1423082226,False,False
CGIE3_ID_02,1d,spearman::depth_mad_km--median_depth_km,median_depth_km,depth_mad_km,rejected,3853,evaluated,0.995,-0.1166979594,False,False,-1.89808289,0.9816922572,False,False
