experiment_id,window_id,relation_id,source_id,target_id,estimator_id,direction,estimability,strength,absolute_strength,sign,sample_count,p_value,non_estimable_reason,valid_block_count,minimum_valid_blocks_met,estimable_block_fraction,sign_preservation_fraction,strength_preservation_fraction,persistence,median_block_strength,median_block_absolute_strength,loo_estimable_count,loo_sign_preservation_fraction,loo_median_absolute_strength_change,leave_one_block_out_robust,bootstrap_estimable_count,bootstrap_estimable_fraction,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_ci_width,bootstrap_interval_crosses_zero,bootstrap_interval_supports_full_sign,bootstrap_sign_support_fraction,missingness_estimable_count,missingness_estimable_fraction,missingness_sign_preservation_fraction,missingness_median_absolute_strength_change,missingness_stress_robust,classification_status,classification_reason,eligible_condition_count_met,eligible_condition_count_total,candidate_condition_count_met,candidate_condition_count_total,failed_eligible_conditions,failed_candidate_conditions,condition_estimable_on_full_baseline,condition_eligible_strength,condition_candidate_strength,condition_minimum_valid_blocks_met,condition_eligible_estimable_block_fraction,condition_eligible_sign_preservation,condition_eligible_persistence,condition_candidate_persistence,condition_eligible_ci_width,condition_candidate_ci_width,condition_eligible_interval_sign_support,condition_leave_one_block_out_robust,condition_missingness_stress_robust
CGIE3_ID_02,1d,spearman::depth_mad_km--event_count,depth_mad_km,event_count,spearman,undirected,estimable,-0.0246149832,0.0246149832,-1,3853,0.126599419,,12,True,1,0.5833333333,0.1666666667,0.1666666667,-0.02177183836,0.08165563861,12,1,0.01255061514,True,500,1,-0.1249290017,0.07643293357,0.2013619353,True,False,0.684,100,1,1,0.003578791708,True,rejected,eligible_and_candidate_conditions_not_met,6,10,2,4,eligible_strength|eligible_sign_preservation|eligible_persistence|eligible_interval_sign_support,candidate_strength|candidate_persistence,True,False,False,True,True,False,False,False,True,True,False,True,True
CGIE3_ID_02,1d,spearman::depth_mad_km--interevent_time_mad_hours,depth_mad_km,interevent_time_mad_hours,spearman,undirected,estimable,-0.03287475103,0.03287475103,-1,3853,0.04129969303,,12,True,1,0.8333333333,0.1666666667,0.1666666667,-0.05510520722,0.0657646771,12,1,0.007483894897,True,500,1,-0.1231279046,0.05161682857,0.1747447332,True,False,0.746,100,1,1,0.004186265351,True,rejected,eligible_and_candidate_conditions_not_met,7,10,2,4,eligible_strength|eligible_persistence|eligible_interval_sign_support,candidate_strength|candidate_persistence,True,False,False,True,True,True,False,False,True,True,False,True,True
CGIE3_ID_02,1d,spearman::depth_mad_km--log10_cumulative_energy_joule,depth_mad_km,log10_cumulative_energy_joule,spearman,undirected,estimable,-0.1337919797,0.1337919797,-1,3853,7.452264568e-17,,12,True,1,0.75,0.4166666667,0.4166666667,-0.1519488207,0.1519488207,12,1,0.01969497267,True,500,1,-0.2411916548,-0.01373743414,0.2274542207,False,True,0.99,100,1,1,0.003549039978,True,rejected,eligible_and_candidate_conditions_not_met,8,10,2,4,eligible_strength|eligible_persistence,candidate_strength|candidate_persistence,True,False,False,True,True,True,False,False,True,True,True,True,True
CGIE3_ID_02,1d,spearman::depth_mad_km--maximum_magnitude,depth_mad_km,maximum_magnitude,spearman,undirected,estimable,-0.140745838,0.140745838,-1,3853,1.673865137e-18,,12,True,1,0.6666666667,0.5,0.5,-0.1737871222,0.1737871222,12,1,0.02158890833,True,500,1,-0.2537789154,-0.01751356091,0.2362653545,False,True,0.988,100,1,1,0.003225792167,True,rejected,eligible_and_candidate_conditions_not_met,7,10,3,4,eligible_strength|eligible_sign_preservation|eligible_persistence,candidate_strength,True,False,False,True,True,False,False,True,True,True,True,True,True
CGIE3_ID_02,1d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,spearman,undirected,estimable,-0.1166979594,0.1166979594,-1,3853,3.696690829e-13,,12,True,1,0.6666666667,0.5,0.3333333333,-0.1244456207,0.1969324544,12,1,0.007855377748,True,500,1,-0.2352008935,-0.008615469455,0.226585424,False,True,0.988,100,1,1,0.00377801791,True,rejected,eligible_and_candidate_conditions_not_met,7,10,2,4,eligible_strength|eligible_sign_preservation|eligible_persistence,candidate_strength|candidate_persistence,True,False,False,True,True,False,False,False,True,True,True,True,True
CGIE3_ID_02,1d,spearman::depth_mad_km--median_interevent_time_hours,depth_mad_km,median_interevent_time_hours,spearman,undirected,estimable,0.1592638527,0.1592638527,1,3853,2.618657125e-23,,12,True,1,0.9166666667,0.4166666667,0.4166666667,0.1100818641,0.1100818641,12,1,0.008535636975,True,500,1,0.05383118825,0.2531686932,0.199337505,False,True,1,100,1,1,0.004138377002,True,rejected,eligible_and_candidate_conditions_not_met,8,10,2,4,eligible_strength|eligible_persistence,candidate_strength|candidate_persistence,True,False,False,True,True,True,False,False,True,True,True,True,True
CGIE3_ID_02,1d,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,spearman,undirected,estimable,0.300418432,0.300418432,1,3853,3.416408906e-81,,12,True,1,1,0.8333333333,0.8333333333,0.3696222145,0.3696222145,12,1,0.007225786263,True,500,1,0.2029557301,0.392632199,0.1896764689,False,True,1,100,1,1,0.003495873408,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True
CGIE3_ID_02,1d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,spearman,undirected,estimable,0.4971858071,0.4971858071,1,3853,9.243194981e-240,,12,True,1,1,0.75,0.75,0.6568765717,0.6568765717,12,1,0.02094929554,True,500,1,0.3886207566,0.5915663905,0.2029456339,False,True,1,100,1,1,0.003462198255,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True
CGIE3_ID_02,1d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,spearman,undirected,estimable,0.7586573147,0.7586573147,1,6076,0,,12,True,1,1,1,1,0.7312408145,0.7312408145,12,1,0.007622967938,True,500,1,0.7137471859,0.8035781804,0.08983099451,False,True,1,100,1,1,0.001389088095,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True
CGIE3_ID_02,1d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,spearman,undirected,estimable,0.675143177,0.675143177,1,6076,0,,12,True,1,1,1,1,0.6028535351,0.6028535351,12,1,0.0103256657,True,500,1,0.6126458883,0.7234633147,0.1108174264,False,True,1,100,1,1,0.001739443976,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True
CGIE3_ID_02,1d,spearman::event_count--median_depth_km,event_count,median_depth_km,spearman,undirected,estimable,-0.1058501324,0.1058501324,-1,6076,1.312550072e-16,,12,True,1,0.75,0.4166666667,0.3333333333,-0.08268737633,0.1373345497,12,1,0.005413043215,True,500,1,-0.2147669251,-0.01388888128,0.2008780438,False,True,0.988,100,1,1,0.00283274695,True,rejected,eligible_and_candidate_conditions_not_met,8,10,2,4,eligible_strength|eligible_persistence,candidate_strength|candidate_persistence,True,False,False,True,True,True,False,False,True,True,True,True,True
CGIE3_ID_02,1d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,spearman,undirected,estimable,-0.5284007872,0.5284007872,-1,3853,3.977868109e-276,,12,True,1,0.8333333333,0.8333333333,0.8333333333,-0.4643385103,0.4643385103,12,1,0.01766669531,True,500,1,-0.6118136985,-0.4301554987,0.1816581998,False,True,1,100,1,1,0.002783167956,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True
