experiment_id,source_feature_id,target_feature_id,bootstrap_repetitions,coassignment_count,coassignment_fraction
CGIE3_ID_03,depth_mad_km,event_count,300,27,0.09
CGIE3_ID_03,depth_mad_km,interevent_time_mad_hours,300,57,0.19
CGIE3_ID_03,depth_mad_km,log10_cumulative_energy_joule,300,4,0.01333333333
CGIE3_ID_03,depth_mad_km,maximum_magnitude,300,6,0.02
CGIE3_ID_03,depth_mad_km,median_depth_km,300,214,0.7133333333
CGIE3_ID_03,depth_mad_km,median_interevent_time_hours,300,59,0.1966666667
CGIE3_ID_03,depth_mad_km,spatial_dispersion_km,300,191,0.6366666667
CGIE3_ID_03,depth_mad_km,temporal_burstiness,300,32,0.1066666667
CGIE3_ID_03,event_count,interevent_time_mad_hours,300,117,0.39
CGIE3_ID_03,event_count,log10_cumulative_energy_joule,300,161,0.5366666667
CGIE3_ID_03,event_count,maximum_magnitude,300,170,0.5666666667
CGIE3_ID_03,event_count,median_depth_km,300,66,0.22
CGIE3_ID_03,event_count,median_interevent_time_hours,300,115,0.3833333333
CGIE3_ID_03,event_count,spatial_dispersion_km,300,60,0.2
CGIE3_ID_03,event_count,temporal_burstiness,300,131,0.4366666667
CGIE3_ID_03,interevent_time_mad_hours,log10_cumulative_energy_joule,300,123,0.41
CGIE3_ID_03,interevent_time_mad_hours,maximum_magnitude,300,108,0.36
CGIE3_ID_03,interevent_time_mad_hours,median_depth_km,300,95,0.3166666667
CGIE3_ID_03,interevent_time_mad_hours,median_interevent_time_hours,300,121,0.4033333333
CGIE3_ID_03,interevent_time_mad_hours,spatial_dispersion_km,300,88,0.2933333333
CGIE3_ID_03,interevent_time_mad_hours,temporal_burstiness,300,139,0.4633333333
CGIE3_ID_03,log10_cumulative_energy_joule,maximum_magnitude,300,221,0.7366666667
CGIE3_ID_03,log10_cumulative_energy_joule,median_depth_km,300,21,0.07
CGIE3_ID_03,log10_cumulative_energy_joule,median_interevent_time_hours,300,127,0.4233333333
CGIE3_ID_03,log10_cumulative_energy_joule,spatial_dispersion_km,300,27,0.09
CGIE3_ID_03,log10_cumulative_energy_joule,temporal_burstiness,300,163,0.5433333333
CGIE3_ID_03,maximum_magnitude,median_depth_km,300,33,0.11
CGIE3_ID_03,maximum_magnitude,median_interevent_time_hours,300,134,0.4466666667
CGIE3_ID_03,maximum_magnitude,spatial_dispersion_km,300,21,0.07
CGIE3_ID_03,maximum_magnitude,temporal_burstiness,300,140,0.4666666667
CGIE3_ID_03,median_depth_km,median_interevent_time_hours,300,93,0.31
CGIE3_ID_03,median_depth_km,spatial_dispersion_km,300,177,0.59
CGIE3_ID_03,median_depth_km,temporal_burstiness,300,41,0.1366666667
CGIE3_ID_03,median_interevent_time_hours,spatial_dispersion_km,300,99,0.33
CGIE3_ID_03,median_interevent_time_hours,temporal_burstiness,300,107,0.3566666667
CGIE3_ID_03,spatial_dispersion_km,temporal_burstiness,300,88,0.2933333333
