experiment_id,family_id,window_id,relation_id,pair_id,source_id,target_id,id02_status,edge_weight,dependency_status,overlap_class,null_outcome,redundancy_status,supported_scale_count,family_reproducible,id02_status_modified
CGIE3_ID_03,CGIE3_ID_03_FAMILY_01,30d,spearman::depth_mad_km--median_depth_km,depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,candidate,0.7730445313,shared_event_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_01,3d,spearman::depth_mad_km--median_depth_km,depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,candidate,0.7500081614,shared_event_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_01,7d,spearman::depth_mad_km--median_depth_km,depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,eligible,0.8063265129,shared_event_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_01,1d,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,eligible,0.6767503531,independent_source,overlap_robust,exceeds_null,retains_residual_information,1,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_01,1d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,candidate,0.7537772257,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_01,30d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,eligible,0.9200298632,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_01,3d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,candidate,0.7837835708,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_01,7d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,eligible,0.8701239864,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,1d,spearman::event_count--interevent_time_mad_hours,event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,0.7994371614,independent_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::event_count--interevent_time_mad_hours,event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,0.8524835071,independent_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::event_count--interevent_time_mad_hours,event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,0.837681377,independent_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,1d,spearman::event_count--log10_cumulative_energy_joule,event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,0.9517314629,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::event_count--log10_cumulative_energy_joule,event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,0.6796281743,independent_source,moderately_overlap_sensitive,partially_exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::event_count--log10_cumulative_energy_joule,event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,0.9528626497,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::event_count--log10_cumulative_energy_joule,event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,0.9366594074,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,1d,spearman::event_count--maximum_magnitude,event_count--maximum_magnitude,event_count,maximum_magnitude,eligible,0.9350286354,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::event_count--maximum_magnitude,event_count--maximum_magnitude,event_count,maximum_magnitude,candidate,0.683191183,independent_source,overlap_robust,partially_exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::event_count--maximum_magnitude,event_count--maximum_magnitude,event_count,maximum_magnitude,eligible,0.9203255711,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::event_count--maximum_magnitude,event_count--maximum_magnitude,event_count,maximum_magnitude,eligible,0.8879212315,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,1d,spearman::event_count--median_interevent_time_hours,event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,eligible,0.8723468241,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
