experiment_id,pair_id,source_id,target_id,scale_1d_present,scale_1d_relation_id,scale_1d_id02_status,scale_1d_estimability,scale_1d_strength,scale_1d_absolute_strength,scale_1d_sign,scale_1d_persistence,scale_1d_estimable_block_fraction,scale_1d_sign_preservation_fraction,scale_1d_bootstrap_ci_lower,scale_1d_bootstrap_ci_upper,scale_1d_bootstrap_ci_width,scale_1d_leave_one_block_out_robust,scale_1d_missingness_stress_robust,scale_1d_supported,scale_3d_present,scale_3d_relation_id,scale_3d_id02_status,scale_3d_estimability,scale_3d_strength,scale_3d_absolute_strength,scale_3d_sign,scale_3d_persistence,scale_3d_estimable_block_fraction,scale_3d_sign_preservation_fraction,scale_3d_bootstrap_ci_lower,scale_3d_bootstrap_ci_upper,scale_3d_bootstrap_ci_width,scale_3d_leave_one_block_out_robust,scale_3d_missingness_stress_robust,scale_3d_supported,scale_7d_present,scale_7d_relation_id,scale_7d_id02_status,scale_7d_estimability,scale_7d_strength,scale_7d_absolute_strength,scale_7d_sign,scale_7d_persistence,scale_7d_estimable_block_fraction,scale_7d_sign_preservation_fraction,scale_7d_bootstrap_ci_lower,scale_7d_bootstrap_ci_upper,scale_7d_bootstrap_ci_width,scale_7d_leave_one_block_out_robust,scale_7d_missingness_stress_robust,scale_7d_supported,scale_30d_present,scale_30d_relation_id,scale_30d_id02_status,scale_30d_estimability,scale_30d_strength,scale_30d_absolute_strength,scale_30d_sign,scale_30d_persistence,scale_30d_estimable_block_fraction,scale_30d_sign_preservation_fraction,scale_30d_bootstrap_ci_lower,scale_30d_bootstrap_ci_upper,scale_30d_bootstrap_ci_width,scale_30d_leave_one_block_out_robust,scale_30d_missingness_stress_robust,scale_30d_supported,present_scale_count,estimable_scale_count,supported_scale_count,supported_windows,estimable_windows,dominant_sign,sign_consistent,opposite_sign_detected,strong_scale_contradiction,scale_inconsistent,multiscale_class,minimum_supported_strength,maximum_supported_strength,supported_strength_range,mean_supported_strength,supported_strength_standard_deviation,minimum_supported_persistence,maximum_supported_persistence,mean_supported_persistence,median_supported_bootstrap_ci_width,representative_minimum_scale_count_met,dependency_statuses,definitionally_constrained_flag,id02_status_modified
CGIE3_ID_03,depth_mad_km--event_count,depth_mad_km,event_count,True,spearman::depth_mad_km--event_count,rejected,estimable,-0.0246149832,0.0246149832,-1,0.1666666667,1,0.5833333333,-0.1249290017,0.07643293357,0.2013619353,True,True,False,True,spearman::depth_mad_km--event_count,rejected,estimable,0.1534963808,0.1534963808,1,0.5833333333,1,0.6666666667,0.06644108815,0.2373631213,0.1709220331,True,True,False,True,spearman::depth_mad_km--event_count,rejected,estimable,0.2324635743,0.2324635743,1,0.4166666667,1,0.5833333333,0.1240092848,0.328699212,0.2046899271,True,True,False,True,spearman::depth_mad_km--event_count,rejected,estimable,0.100376192,0.100376192,1,0.5,1,0.5833333333,0.001886842612,0.1959549574,0.1940681148,True,True,False,4,4,0,,1d|3d|7d|30d,,False,False,False,False,scale_inconsistent,,,,,,,,,,False,independent_source,False,False
CGIE3_ID_03,depth_mad_km--interevent_time_mad_hours,depth_mad_km,interevent_time_mad_hours,True,spearman::depth_mad_km--interevent_time_mad_hours,rejected,estimable,-0.03287475103,0.03287475103,-1,0.1666666667,1,0.8333333333,-0.1231279046,0.05161682857,0.1747447332,True,True,False,True,spearman::depth_mad_km--interevent_time_mad_hours,rejected,estimable,0.1026379911,0.1026379911,1,0.25,1,0.6666666667,0.0001195177593,0.2014540563,0.2013345385,True,True,False,True,spearman::depth_mad_km--interevent_time_mad_hours,rejected,estimable,-0.04531972965,0.04531972965,-1,0.3333333333,1,0.4166666667,-0.1343606733,0.04822863812,0.1825893114,True,True,False,True,spearman::depth_mad_km--interevent_time_mad_hours,rejected,estimable,-0.05250887782,0.05250887782,-1,0.4166666667,1,0.5,-0.1544007834,0.04901403309,0.2034148165,True,True,False,4,4,0,,1d|3d|7d|30d,,False,False,False,False,scale_inconsistent,,,,,,,,,,False,independent_source,False,False
CGIE3_ID_03,depth_mad_km--log10_cumulative_energy_joule,depth_mad_km,log10_cumulative_energy_joule,True,spearman::depth_mad_km--log10_cumulative_energy_joule,rejected,estimable,-0.1337919797,0.1337919797,-1,0.4166666667,1,0.75,-0.2411916548,-0.01373743414,0.2274542207,True,True,False,True,spearman::depth_mad_km--log10_cumulative_energy_joule,rejected,estimable,0.0007731058937,0.0007731058937,1,0.25,1,0.5,-0.1039818722,0.09157517661,0.1955570488,False,False,False,True,spearman::depth_mad_km--log10_cumulative_energy_joule,rejected,estimable,0.08665480639,0.08665480639,1,0.4166666667,1,0.5833333333,-0.0191825123,0.1773626721,0.1965451844,True,True,False,True,spearman::depth_mad_km--log10_cumulative_energy_joule,rejected,estimable,0.1589628733,0.1589628733,1,0.5,1,0.75,0.06854309212,0.2509380504,0.1823949583,True,True,False,4,4,0,,1d|3d|7d|30d,,False,False,False,False,scale_inconsistent,,,,,,,,,,False,independent_source,False,False
CGIE3_ID_03,depth_mad_km--maximum_magnitude,depth_mad_km,maximum_magnitude,True,spearman::depth_mad_km--maximum_magnitude,rejected,estimable,-0.140745838,0.140745838,-1,0.5,1,0.6666666667,-0.2537789154,-0.01751356091,0.2362653545,True,True,False,True,spearman::depth_mad_km--maximum_magnitude,rejected,estimable,-0.01843539033,0.01843539033,-1,0.1666666667,1,0.5833333333,-0.1123524904,0.09130128391,0.2036537743,True,True,False,True,spearman::depth_mad_km--maximum_magnitude,rejected,estimable,0.07972641941,0.07972641941,1,0.5,1,0.5,-0.0169400708,0.1747062093,0.1916462801,True,True,False,True,spearman::depth_mad_km--maximum_magnitude,rejected,estimable,0.2029324391,0.2029324391,1,0.25,1,0.5833333333,0.108549475,0.2952071289,0.1866576538,True,True,False,4,4,0,,1d|3d|7d|30d,,False,False,False,False,scale_inconsistent,,,,,,,,,,False,independent_source,False,False
CGIE3_ID_03,depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,True,spearman::depth_mad_km--median_depth_km,rejected,estimable,-0.1166979594,0.1166979594,-1,0.3333333333,1,0.6666666667,-0.2352008935,-0.008615469455,0.226585424,True,True,False,True,spearman::depth_mad_km--median_depth_km,candidate,estimable,-0.2500408068,0.2500408068,-1,0.75,1,0.9166666667,-0.3415967142,-0.1521162523,0.1894804619,True,True,True,True,spearman::depth_mad_km--median_depth_km,eligible,estimable,-0.364965898,0.364965898,-1,0.9166666667,1,0.9166666667,-0.4572490413,-0.2556491504,0.2015998909,True,True,True,True,spearman::depth_mad_km--median_depth_km,candidate,estimable,-0.4485559896,0.4485559896,-1,0.6666666667,1,0.75,-0.5345866763,-0.3513184127,0.1832682636,True,True,True,4,4,3,3d|7d|30d,1d|3d|7d|30d,-1,True,False,False,False,multi_scale_3,-0.4485559896,-0.2500408068,0.1985151828,-0.3545208981,0.09966891676,0.6666666667,0.9166666667,0.7777777778,0.1894804619,True,shared_event_source,True,False
CGIE3_ID_03,depth_mad_km--median_interevent_time_hours,depth_mad_km,median_interevent_time_hours,True,spearman::depth_mad_km--median_interevent_time_hours,rejected,estimable,0.1592638527,0.1592638527,1,0.4166666667,1,0.9166666667,0.05383118825,0.2531686932,0.199337505,True,True,False,True,spearman::depth_mad_km--median_interevent_time_hours,rejected,estimable,-0.03639816905,0.03639816905,-1,0.25,1,0.6666666667,-0.1291842984,0.06159516446,0.1907794629,True,True,False,True,spearman::depth_mad_km--median_interevent_time_hours,rejected,estimable,-0.1407664614,0.1407664614,-1,0.4166666667,1,0.5,-0.2398838054,-0.03739356516,0.2024902403,True,True,False,True,spearman::depth_mad_km--median_interevent_time_hours,rejected,estimable,-0.07987057688,0.07987057688,-1,0.4166666667,1,0.5,-0.1842457445,0.02520055651,0.209446301,True,True,False,4,4,0,,1d|3d|7d|30d,,False,False,False,False,scale_inconsistent,,,,,,,,,,False,independent_source,False,False
CGIE3_ID_03,depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,True,spearman::depth_mad_km--spatial_dispersion_km,eligible,estimable,0.300418432,0.300418432,1,0.8333333333,1,1,0.2029557301,0.392632199,0.1896764689,True,True,True,True,spearman::depth_mad_km--spatial_dispersion_km,rejected,estimable,0.2108124784,0.2108124784,1,0.4166666667,1,0.8333333333,0.1233420913,0.3035973957,0.1802553045,True,True,False,True,spearman::depth_mad_km--spatial_dispersion_km,rejected,estimable,0.07657612754,0.07657612754,1,0.4166666667,1,0.5833333333,-0.02029445953,0.1840267851,0.2043212446,True,True,False,True,spearman::depth_mad_km--spatial_dispersion_km,rejected,estimable,-0.1237233121,0.1237233121,-1,0.5,1,0.6666666667,-0.2289867302,-0.02411400456,0.2048727256,True,True,False,4,4,1,1d,1d|3d|7d|30d,1,True,False,False,False,single_scale,0.300418432,0.300418432,0,0.300418432,0,0.8333333333,0.8333333333,0.8333333333,0.1896764689,False,independent_source,False,False
CGIE3_ID_03,depth_mad_km--temporal_burstiness,depth_mad_km,temporal_burstiness,False,,,,,,,,,,,,,,,False,True,spearman::depth_mad_km--temporal_burstiness,rejected,estimable,0.07812531798,0.07812531798,1,0.3333333333,1,0.75,-0.01299017506,0.1869480186,0.1999381937,True,True,False,True,spearman::depth_mad_km--temporal_burstiness,rejected,estimable,0.02679282331,0.02679282331,1,0.25,1,0.5,-0.05957397029,0.1212653111,0.1808392814,False,True,False,True,spearman::depth_mad_km--temporal_burstiness,rejected,estimable,0.1628290963,0.1628290963,1,0.4166666667,1,0.4166666667,0.05811163587,0.2568699378,0.1987583019,True,True,False,3,3,0,,3d|7d|30d,,False,False,False,False,scale_inconsistent,,,,,,,,,,False,independent_source,False,False
CGIE3_ID_03,event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,True,spearman::event_count--interevent_time_mad_hours,eligible,estimable,0.4971858071,0.4971858071,1,0.75,1,1,0.3886207566,0.5915663905,0.2029456339,True,True,True,True,spearman::event_count--interevent_time_mad_hours,rejected,estimable,0.007050976589,0.007050976589,1,0.4166666667,1,0.5833333333,-0.1024979496,0.1277275371,0.2302254868,False,True,False,True,spearman::event_count--interevent_time_mad_hours,eligible,estimable,-0.688406885,0.688406885,-1,0.75,1,1,-0.7550559099,-0.616731706,0.138324204,True,True,True,True,spearman::event_count--interevent_time_mad_hours,eligible,estimable,-0.7624175354,0.7624175354,-1,0.75,1,0.8333333333,-0.8141484539,-0.6936662321,0.1204822218,True,True,True,4,4,3,1d|7d|30d,1d|3d|7d|30d,-1,False,True,True,True,scale_inconsistent,-0.7624175354,0.4971858071,1.259603342,-0.3178795378,0.706836637,0.75,0.75,0.75,0.138324204,True,independent_source,False,False
CGIE3_ID_03,event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,True,spearman::event_count--log10_cumulative_energy_joule,eligible,estimable,0.7586573147,0.7586573147,1,1,1,1,0.7137471859,0.8035781804,0.08983099451,True,True,True,True,spearman::event_count--log10_cumulative_energy_joule,eligible,estimable,0.7643132483,0.7643132483,1,1,1,1,0.7215718855,0.8048551457,0.08328326017,True,True,True,True,spearman::event_count--log10_cumulative_energy_joule,eligible,estimable,0.7666303704,0.7666303704,1,0.9166666667,1,1,0.7218049523,0.8007319093,0.07892695702,True,True,True,True,spearman::event_count--log10_cumulative_energy_joule,eligible,estimable,0.3148075384,0.3148075384,1,0.8333333333,1,0.8333333333,0.2008479221,0.4199297246,0.2190818025,True,True,True,4,4,4,1d|3d|7d|30d,1d|3d|7d|30d,1,True,False,False,False,multi_scale_4,0.3148075384,0.7666303704,0.451822832,0.651102118,0.2242213949,0.8333333333,1,0.9375,0.08655712734,True,independent_source,False,False
