experiment_id,window_id,relation_id,source_id,target_id,id02_status,sampling_scheme,stride_hours,sampled_row_count,paired_observation_count,estimability,non_estimable_reason,strength,absolute_strength,sign,bootstrap_estimable_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_ci_width,lag1_autocorrelation_source,lag1_autocorrelation_target,bootstrap_seed,id02_status_modified,nominal_spacing_hours,irregular_spacing_fraction
CGIE3_ID_03,1d,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,eligible,half_window_stride,12,730,328,estimable,,0.2619637058,0.2619637058,1,300,0.1476747536,0.3580069372,0.2103321836,0.2918201382,0.3987625503,1465860812,False,1,0
CGIE3_ID_03,1d,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,eligible,non_overlapping,24,365,170,estimable,,0.2869667026,0.2869667026,1,300,0.1576765907,0.4192445134,0.2615679227,-0.01534127712,0.1907334965,2823874579,False,1,0
CGIE3_ID_03,1d,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,eligible,rolling_full,1,8760,3853,estimable,,0.300418432,0.300418432,1,300,0.1991654823,0.400733085,0.2015676027,0.5008068377,0.9263553979,116016610,False,1,0
CGIE3_ID_03,1d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,half_window_stride,12,730,328,estimable,,0.4976812479,0.4976812479,1,300,0.3345780075,0.6159851973,0.2814071899,0.8143907205,0.05856744576,827667507,False,1,0
CGIE3_ID_03,1d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,non_overlapping,24,365,170,estimable,,0.5435036144,0.5435036144,1,300,0.3757771484,0.6705150832,0.2947379348,0.5549260408,0.03915980554,14842010,False,1,0
CGIE3_ID_03,1d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,rolling_full,1,8760,3853,estimable,,0.4971858071,0.4971858071,1,300,0.374833157,0.6149083545,0.2400751975,0.9922265686,0.7413914575,1346903189,False,1,0
CGIE3_ID_03,1d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,half_window_stride,12,730,507,estimable,,0.7601840636,0.7601840636,1,300,0.6997690228,0.8080714449,0.1083024221,0.8143907205,0.5645676191,3548017558,False,1,0
CGIE3_ID_03,1d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,non_overlapping,24,365,252,estimable,,0.7624074145,0.7624074145,1,300,0.6868653644,0.8174713742,0.1306060098,0.5549260408,0.2404397087,3568229691,False,1,0
CGIE3_ID_03,1d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,rolling_full,1,8760,6076,estimable,,0.7586573147,0.7586573147,1,300,0.6975625119,0.7997934933,0.1022309814,0.9922265686,0.9634139169,3704658556,False,1,0
CGIE3_ID_03,1d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,eligible,half_window_stride,12,730,507,estimable,,0.6755741418,0.6755741418,1,300,0.5917548454,0.7355911336,0.1438362881,0.8143907205,0.5507335868,1954954437,False,1,0
CGIE3_ID_03,1d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,eligible,non_overlapping,24,365,252,estimable,,0.6760204874,0.6760204874,1,300,0.5963282759,0.7432009548,0.1468726789,0.5549260408,0.2140043531,681713242,False,1,0
CGIE3_ID_03,1d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,eligible,rolling_full,1,8760,6076,estimable,,0.675143177,0.675143177,1,300,0.6084753049,0.7395688153,0.1310935105,0.9922265686,0.9609467508,1126967232,False,1,0
CGIE3_ID_03,1d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,eligible,half_window_stride,12,730,328,estimable,,-0.528571502,0.528571502,-1,300,-0.6380474754,-0.4098712977,0.2281761776,0.8143907205,0.1325531779,3417127851,False,1,0
CGIE3_ID_03,1d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,eligible,non_overlapping,24,365,170,estimable,,-0.5575128034,0.5575128034,-1,300,-0.6593592438,-0.4351781708,0.224181073,0.5549260408,-0.007010455828,1700240538,False,1,0
CGIE3_ID_03,1d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,eligible,rolling_full,1,8760,3853,estimable,,-0.5284007872,0.5284007872,-1,300,-0.610575889,-0.4205250133,0.1900508757,0.9922265686,0.8630266499,4013811761,False,1,0
CGIE3_ID_03,1d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,half_window_stride,12,730,328,estimable,,0.2870775349,0.2870775349,1,300,0.1719278454,0.3955380959,0.2236102505,0.05856744576,0.5645676191,2031546323,False,1,0
CGIE3_ID_03,1d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,non_overlapping,24,365,170,estimable,,0.3048533317,0.3048533317,1,300,0.1951096016,0.4113936291,0.2162840275,0.03915980554,0.2404397087,2682669022,False,1,0
CGIE3_ID_03,1d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,rolling_full,1,8760,3853,estimable,,0.2877519563,0.2877519563,1,300,0.1936895581,0.3852957023,0.1916061442,0.7413914575,0.9634139169,3192727220,False,1,0
CGIE3_ID_03,1d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,half_window_stride,12,730,328,estimable,,0.2387632496,0.2387632496,1,300,0.1268348258,0.3558419204,0.2290070947,0.05856744576,0.5507335868,3661024349,False,1,0
CGIE3_ID_03,1d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,non_overlapping,24,365,170,estimable,,0.2455802322,0.2455802322,1,300,0.1463097333,0.3629045018,0.2165947686,0.03915980554,0.2140043531,679862498,False,1,0
CGIE3_ID_03,1d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,rolling_full,1,8760,3853,estimable,,0.2427518202,0.2427518202,1,300,0.1504342343,0.342650493,0.1922162586,0.7413914575,0.9609467508,922748249,False,1,0
CGIE3_ID_03,1d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,half_window_stride,12,730,507,estimable,,0.9852056696,0.9852056696,1,300,0.9800028794,0.9886361682,0.008633288809,0.5645676191,0.5507335868,287991300,False,1,0
CGIE3_ID_03,1d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,non_overlapping,24,365,252,estimable,,0.9847065548,0.9847065548,1,300,0.9786417851,0.989316091,0.01067430583,0.2404397087,0.2140043531,984096331,False,1,0
CGIE3_ID_03,1d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,rolling_full,1,8760,6076,estimable,,0.9858583829,0.9858583829,1,300,0.9805460158,0.9892310207,0.008685004852,0.9634139169,0.9609467508,1898116129,False,1,0
CGIE3_ID_03,1d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,eligible,half_window_stride,12,730,328,estimable,,-0.4678515816,0.4678515816,-1,300,-0.5502327945,-0.3746288145,0.1756039799,0.5645676191,0.1325531779,1520244028,False,1,0
CGIE3_ID_03,1d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,eligible,non_overlapping,24,365,170,estimable,,-0.5119425876,0.5119425876,-1,300,-0.5973775615,-0.3919824916,0.2053950699,0.2404397087,-0.007010455828,342137760,False,1,0
CGIE3_ID_03,1d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,eligible,rolling_full,1,8760,3853,estimable,,-0.4366162893,0.4366162893,-1,300,-0.5320997263,-0.3412459743,0.1908537519,0.9634139169,0.8630266499,3121610080,False,1,0
CGIE3_ID_03,1d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,eligible,half_window_stride,12,730,328,estimable,,-0.4405210836,0.4405210836,-1,300,-0.5188258359,-0.3498350369,0.168990799,0.5507335868,0.1325531779,718259424,False,1,0
CGIE3_ID_03,1d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,eligible,non_overlapping,24,365,170,estimable,,-0.4842427915,0.4842427915,-1,300,-0.5862859836,-0.3691159129,0.2171700707,0.2140043531,-0.007010455828,1153683042,False,1,0
CGIE3_ID_03,1d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,eligible,rolling_full,1,8760,3853,estimable,,-0.4042337978,0.4042337978,-1,300,-0.4897889158,-0.3161355728,0.173653343,0.9609467508,0.8630266499,1940414647,False,1,0
CGIE3_ID_03,1d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,candidate,half_window_stride,12,730,328,estimable,,0.2399294442,0.2399294442,1,300,0.1241240387,0.3562446779,0.2321206392,0.5352848267,0.3987625503,3764540279,False,1,0
