experiment_id,family_id,member_node_count,member_relation_pair_count,member_scale_relation_count,member_components,member_pair_ids,eligible_relation_count,candidate_relation_count,mean_graph_edge_weight,maximum_supported_scale_count,overlap_robust_relation_count,null_exceeds_relation_count,residual_information_relation_count,dependency_statuses,family_stability,secondary_partition_agreement,reproducible_family,preliminary_label_suggestion,preliminary_label_jaccard_overlap,preliminary_label_used_for_detection
CGIE3_ID_03,CGIE3_ID_03_FAMILY_01,3,3,8,depth_mad_km|median_depth_km|spatial_dispersion_km,depth_mad_km--median_depth_km|depth_mad_km--spatial_dispersion_km|median_depth_km--spatial_dispersion_km,4,4,0.7617129166,4,8,8,8,independent_source|shared_event_source,0.6466666667,True,False,spatial_geometry,1,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,6,15,51,event_count|interevent_time_mad_hours|log10_cumulative_energy_joule|maximum_magnitude|median_interevent_time_hours|temporal_burstiness,event_count--interevent_time_mad_hours|event_count--log10_cumulative_energy_joule|event_count--maximum_magnitude|event_count--median_interevent_time_hours|event_count--temporal_burstiness|interevent_time_mad_hours--log10_cumulative_energy_joule|interevent_time_mad_hours--maximum_magnitude|interevent_time_mad_hours--median_interevent_time_hours|interevent_time_mad_hours--temporal_burstiness|log10_cumulative_energy_joule--maximum_magnitude|log10_cumulative_energy_joule--median_interevent_time_hours|log10_cumulative_energy_joule--temporal_burstiness|maximum_magnitude--median_interevent_time_hours|maximum_magnitude--temporal_burstiness|median_interevent_time_hours--temporal_burstiness,37,14,0.8057705764,4,46,44,31,independent_source|partially_derived|shared_temporal_source,0.4615555556,True,False,temporal_organization,0.5,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_03,2,1,1,event_count|median_depth_km,event_count--median_depth_km,0,1,0.5084946968,2,0,0,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_04,2,1,1,event_count|median_depth_km,event_count--median_depth_km,0,1,0.6441682954,2,1,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_05,2,1,1,event_count|spatial_dispersion_km,event_count--spatial_dispersion_km,0,1,0.4618691229,1,0,0,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_06,2,1,1,interevent_time_mad_hours|median_depth_km,interevent_time_mad_hours--median_depth_km,0,1,0.7095131033,2,1,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_07,2,1,1,interevent_time_mad_hours|median_depth_km,interevent_time_mad_hours--median_depth_km,0,1,0.646185549,2,1,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_08,2,1,1,interevent_time_mad_hours|spatial_dispersion_km,interevent_time_mad_hours--spatial_dispersion_km,1,0,0.6950647279,2,0,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_09,2,1,1,interevent_time_mad_hours|spatial_dispersion_km,interevent_time_mad_hours--spatial_dispersion_km,0,1,0.6099814981,2,0,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_10,2,1,1,median_depth_km|median_interevent_time_hours,median_depth_km--median_interevent_time_hours,0,1,0.659067507,1,1,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_11,2,1,1,median_interevent_time_hours|spatial_dispersion_km,median_interevent_time_hours--spatial_dispersion_km,1,0,0.8998773472,4,1,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_12,2,1,1,median_interevent_time_hours|spatial_dispersion_km,median_interevent_time_hours--spatial_dispersion_km,1,0,0.816224631,4,0,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_13,2,1,1,median_interevent_time_hours|spatial_dispersion_km,median_interevent_time_hours--spatial_dispersion_km,0,1,0.7965164746,4,1,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_14,2,1,1,median_interevent_time_hours|spatial_dispersion_km,median_interevent_time_hours--spatial_dispersion_km,0,1,0.7912137007,4,1,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_15,2,1,1,spatial_dispersion_km|temporal_burstiness,spatial_dispersion_km--temporal_burstiness,0,1,0.6771911763,3,0,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_16,2,1,1,spatial_dispersion_km|temporal_burstiness,spatial_dispersion_km--temporal_burstiness,0,1,0.7485377152,3,1,1,1,independent_source,0,True,False,,0,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_17,2,1,1,spatial_dispersion_km|temporal_burstiness,spatial_dispersion_km--temporal_burstiness,1,0,0.7737479598,3,1,1,1,independent_source,0,True,False,,0,False
